OBJECTID,UNIQUE_ID,PHASE,CONFIDENCE,LATITUDE,LONGITUDE,AREA_SQM,SHAPE_Leng,SHAPE_Area
1,CC_ETH_1,Under Canopy,Low,8.099384034000026,34.133387375000041,2720.259573367751727,0.002091474999503,0.000000223163658
2,CC_ETH_2,Under Canopy,Low,8.098303512000030,34.204080878000070,1350.746630552986062,0.001589282986752,0.000000110811771
3,CC_ETH_3,Under Canopy,Low,8.097094096000037,34.205664870000078,546.339682564503164,0.001025975156659,0.000000044820153
4,CC_ETH_4,Under Canopy,Low,8.097132075000047,34.133509878000041,1793.712459004862239,0.001573697417531,0.000000147151088
5,CC_ETH_5,Under Canopy,Low,8.093053492000024,34.146823390000066,2593.239403923807458,0.001965297412677,0.000000212739922
6,CC_ETH_6,Under Canopy,Low,8.091846770000076,34.460977311000079,1074.902758017585938,0.001354392320319,0.000000088180882
7,CC_ETH_7,Under Canopy,Low,8.091308244000063,34.463035595000065,1350.467225207358524,0.001589100212331,0.000000110786976
8,CC_ETH_8,Under Canopy,Low,8.091655918000072,34.233616101000052,938.990023415434166,0.001281415876970,0.000000077031039
9,CC_ETH_9,Under Canopy,Low,8.091747036000072,34.131027523000057,1350.903083173766845,0.001587713704088,0.000000110822833
10,CC_ETH_10,Under Canopy,Low,8.091082169000060,34.132123935000038,1075.218747606620582,0.001354591543121,0.000000088206641
11,CC_ETH_11,Under Canopy,Low,8.091466628000036,34.146507595000060,6122.483054980670204,0.004550833899251,0.000000502264181
12,CC_ETH_12,Under Canopy,Low,8.090663598000051,34.188989198000058,2350.043799705382753,0.001768678598075,0.000000192787920
13,CC_ETH_13,Under Canopy,Low,8.090609355000026,34.140388365000035,3372.905191936940355,0.002916470778161,0.000000276699371
14,CC_ETH_14,Under Canopy,Low,8.090520654000047,34.146618639000053,876.913561671750017,0.001266554315137,0.000000071938341
15,CC_ETH_15,Under Canopy,Low,8.090464958000043,34.129550468000048,2134.400756114465366,0.002282086656274,0.000000175097402
16,CC_ETH_16,Under Canopy,Low,8.090052785000070,34.146294975000046,540.161063505229436,0.001028745949655,0.000000044312527
17,CC_ETH_17,Under Canopy,Low,8.089839776000076,34.189172209000048,1532.361501769734332,0.001669433499617,0.000000125708381
18,CC_ETH_18,Under Canopy,Low,8.089319838000051,34.234633120000069,947.950705838824206,0.001286385377232,0.000000077765707
19,CC_ETH_19,Under Canopy,Low,8.088876549000076,34.408621557000060,2705.403083672407774,0.002172797575282,0.000000221939303
20,CC_ETH_20,Under Canopy,Low,8.088696411000058,34.144458893000035,1075.210366783422614,0.001354582300697,0.000000088205445
21,CC_ETH_21,Under Canopy,Low,8.088145675000021,34.181790761000059,802.022533874969554,0.001383356187504,0.000000065794248
22,CC_ETH_22,Under Canopy,Low,8.088076435000062,34.129237305000061,1280.210280384091902,0.001484606830363,0.000000105022518
23,CC_ETH_23,Under Canopy,Low,8.088077321000071,34.131072279000080,2333.263560369442530,0.001998527667852,0.000000191410161
24,CC_ETH_24,Under Canopy,Low,8.087847678000060,34.182837847000030,546.368238225770256,0.001024569482982,0.000000044821502
25,CC_ETH_25,Under Canopy,Low,8.087862611000048,34.146952955000074,1470.989274509896404,0.001480462369403,0.000000120673075
26,CC_ETH_26,Under Canopy,Low,8.086955872000035,34.407148557000028,546.316045255698327,0.001024503786310,0.000000044817124
27,CC_ETH_27,Under Canopy,Low,8.087113338000051,34.151646076000077,2099.843850705537079,0.001893016955989,0.000000172261044
28,CC_ETH_28,Under Canopy,Low,8.086872951000032,34.214190289000044,1275.211249668935125,0.001589262321644,0.000000104612070
29,CC_ETH_29,Under Canopy,Low,8.087025948000075,34.146203867000054,1747.553834556289985,0.001825733719461,0.000000143360914
30,CC_ETH_30,Under Canopy,Low,8.086779090000050,34.153655570000069,802.038010664484432,0.001383365204936,0.000000065795301
